ID,Area(m2),Area(km2),Average Distance to Ambulance Station,<- Inverse,<- Percentage,Average Distance to Fire Station,<- Inverse,<- Percentage,Average Distance to Police Station,<- Inverse,<- Percentage,2008 Ambulance Calls,<- Per Area(km2),<- Percentage,2011 Fire Medical Calls + Fire Vehicle Incidents + Fires & Fire Alarms,<- Per Area(km2),<- Percentage,2011 Total Major Crime Incidents,<- Per Area(km2),<- Percentage,,,,,,,,
65,1675755.575,1.675755575,0.012380142,80.77451839,0.008082706,0.007864302,127.1568743,0.009322852,0.009485366,105.4255543,0.013886812,1040,620.6155693,0.0085281,649,387.2879851,0.008255478,392,233.92433,0.013948369,,,,,,,,
66,1120078.543,1.120078543,0.007294591,137.0878836,0.013717705,0.007452923,134.1755396,0.009837444,0.021779464,45.91481261,0.006047968,989,882.9737931,0.012133257,669,597.2795425,0.012731684,262,233.9121676,0.013947644,,,,,,,,
67,887914.7444,0.887914744,0.014256994,70.14101461,0.007018664,0.014748471,67.80363681,0.004971208,0.028866298,34.6424749,0.004563159,607,683.6241923,0.009393923,514,578.8844067,0.012339571,146,164.4302011,0.009804594,,,,,,,,
68,1786734.825,1.786734825,0.015479243,64.6026407,0.006464466,0.009615951,103.9938729,0.007624593,0.022653562,44.14316773,0.005814604,802,448.8634737,0.006167993,799,447.1844333,0.009532239,402,224.991417,0.01341572,,,,,,,,
69,941539.2803,0.94153928,0.005308563,188.3748946,0.018849742,0.004493921,222.5228409,0.016314866,0.021905214,45.65123155,0.006013249,604,641.5027101,0.008815117,309,328.1859891,0.006995653,221,234.7220181,0.013995934,,,,,,,,
70,10968617.97,10.96861797,0.016720561,59.80660487,0.005984551,0.015032502,66.52252362,0.004877279,0.022762437,43.93202717,0.005786793,3086,281.348116,0.003866105,1461,133.1981845,0.002839269,660,60.17166447,0.003587898,,,,,,,,
71,1418447.844,1.418447844,0.019066525,52.44794314,0.005248206,0.00792444,126.1918833,0.009252101,0.015680772,63.77236953,0.008400192,2138,1507.281364,0.02071209,1103,777.6105445,0.016575642,253,178.363978,0.010635433,,,,,,,,
72,650519.0304,0.65051903,0.01744538,57.32176724,0.005735905,0.006796378,147.1371989,0.010787763,0.009131313,109.5132744,0.014425253,839,1289.739363,0.017722768,676,1039.170214,0.02215108,259,398.1436175,0.023740387,,,,,,,,
73,1413555.7,1.4135557,0.011042243,90.56131403,0.009062022,0.005628538,177.6660237,0.013026067,0.008076857,123.8105304,0.016308509,3973,2810.642693,0.038622042,2740,1938.374271,0.041318625,921,651.5484321,0.038850333,,,,,,,,
74,424345.969,0.424345969,0.017371537,57.56543068,0.005760287,0.003471883,288.0281634,0.021117567,0.013868315,72.10681397,0.009498018,863,2033.717917,0.027946042,1094,2578.085053,0.054954779,326,768.241067,0.045808446,,,,,,,,
75,1365074.769,1.365074769,0.007699335,129.8813409,0.012996582,0.007166427,139.5395543,0.010230721,0.008143247,122.8011334,0.01617555,5733,4199.769953,0.057710535,3922,2873.102696,0.061243411,1006,736.9559695,0.043942988,,,,,,,,
76,1809966.962,1.809966962,0.008976272,111.4048245,0.011147729,0.006421058,155.737581,0.011418324,0.006840349,146.1913697,0.019256547,5700,3149.228753,0.043274674,3419,1888.984756,0.040265832,1017,561.8887091,0.03350413,,,,,,,,
77,13421305.51,13.42130551,0.012088568,82.72278597,0.008277659,0.010641253,93.97389227,0.006889951,0.013726543,72.85155416,0.009596116,5208,388.0397474,0.005332192,3604,268.5282737,0.005723982,1393,103.7902012,0.006188771,,,,,,,,
78,1535204.984,1.535204984,0.015943021,62.7233689,0.006276417,0.006206849,161.1123578,0.01181239,0.008308159,120.363606,0.015854475,2945,1918.310604,0.026360189,2196,1430.427873,0.030491177,869,566.0481883,0.03375215,,,,,,,,
79,1405771.134,1.405771134,0.010738068,93.12662351,0.00931872,0.007107911,140.6883187,0.010314946,0.014844502,67.36500986,0.00887342,1246,886.3462692,0.0121796,918,653.0223717,0.013919905,296,210.5605904,0.012555243,,,,,,,,
80,1435830.033,1.435830033,0.007174227,139.3878326,0.01394785,0.012225753,81.79455,0.00599699,0.011832391,84.51376919,0.011132281,973,677.6568101,0.009311924,611,425.5378324,0.009070817,261,181.77639,0.010838908,,,,,,,,
81,1730310.161,1.730310161,0.013532202,73.89780269,0.007394587,0.007823914,127.8132666,0.009370977,0.009475677,105.5333571,0.013901012,1651,954.1641938,0.01311151,1074,620.6979674,0.013230874,361,208.6331157,0.012440312,,,,,,,,
82,3242547.888,3.242547888,0.009885113,101.1622196,0.010122802,0.007629617,131.0681787,0.009609619,0.007240929,138.1038178,0.018191242,1582,487.887937,0.006704242,1102,339.8561989,0.007244417,417,128.6025725,0.007668275,,,,,,,,
83,1388535.875,1.388535875,0.009875423,101.261489,0.010132735,0.01048642,95.36142598,0.006991682,0.01347494,74.21183126,0.009775294,1031,742.5087235,0.010203077,485,349.2887788,0.007445483,348,250.623701,0.014944114,,,,,,,,
84,1216827.641,1.216827641,0.007103684,140.7720265,0.014086359,0.008840195,113.1196745,0.008293676,0.007846601,127.4437175,0.016787078,985,809.4819403,0.01112338,600,493.0854459,0.01051067,296,243.2554866,0.014504765,,,,,,,,
85,2287944.174,2.287944174,0.01110745,90.02966352,0.009008822,0.010825574,92.373851,0.00677264,0.017252262,57.96341459,0.007635028,2817,1231.236335,0.016918857,1705,745.2104905,0.015884999,634,277.1046633,0.016523113,,,,,,,,
86,1505125.88,1.50512588,0.013005855,76.88844707,0.007693846,0.006837578,146.2506175,0.010722761,0.017978572,55.62177147,0.007326583,1826,1213.187564,0.016670842,1123,746.1169959,0.015904322,386,256.4569549,0.015291938,,,,,,,,
87,5360180.508,5.360180508,0.013537103,73.87104912,0.00739191,0.011169805,89.52707856,0.006563921,0.022451478,44.54049691,0.005866941,1644,306.706089,0.004214558,832,155.2186533,0.00330866,232,43.28212448,0.002580813,,,,,,,,
88,1883067.988,1.883067988,0.008203779,121.8950413,0.012197433,0.007293535,137.107719,0.010052425,0.009976829,100.2322485,0.013202742,1448,768.9578969,0.010566524,1022,542.7313333,0.011568928,309,164.0939158,0.009784542,,,,,,,,
89,1594643.044,1.594643044,0.016398153,60.98247792,0.006102214,0.00421483,237.2575139,0.017395179,0.021442027,46.63738265,0.006143146,612,383.7849495,0.005273726,414,259.6192306,0.005534076,165,103.4714325,0.006169763,,,,,,,,
90,2632954.651,2.632954651,0.011613767,86.10470539,0.008616071,0.007898651,126.6038928,0.009282308,0.009188224,108.8349576,0.014335904,1290,489.9438733,0.006732493,783,297.384537,0.006339085,304,115.4596415,0.006884593,,,,,,,,
91,1461200.469,1.461200469,0.00845111,118.3276576,0.011840462,0.010485953,95.36567376,0.006991993,0.011827071,84.55178553,0.011137288,855,585.1353173,0.008040553,503,344.2375025,0.007337809,300,205.3106377,0.012242201,,,,,,,,
92,1885443.325,1.885443325,0.016822205,59.44523841,0.00594839,0.005549794,180.1868835,0.013210891,0.020265045,49.34605461,0.006499936,1195,633.8031931,0.008709315,626,332.0174049,0.007077324,264,140.0201196,0.008349077,,,,,,,,
